,distance,stellar_magnitude,mass_wrt_earth,radius_wrt_earth,orbital_radius,orbital_period,star_mass,planet_type
251,31.0,10.153,0.546,0.718,0.0071,0.00082135526,8.767826102376157e+17,Terrestrial
252,45.0,13.04,8.0,2.695,0.026,0.008213553,1.166997540560707e+19,Neptune-like
253,52.0,12.675,1.75,1.09,0.0252,0.007118412,1.1673142091418272e+16,Super Earth
254,52.0,12.675,5.71,2.2110000000000003,0.081,0.04106776,4.6679912988985504e+17,Neptune-like
255,23.0,9.65,1.71,1.17,0.05402,0.019164955,1610417218474379.2,Super Earth
256,55.0,10.166,7.14,2.519,0.0608,0.01889117,2.206044943865437e+18,Neptune-like
257,59.0,10.844,2.47,1.38,0.029,0.007118412,1.1673142091418272e+16,Super Earth
258,59.0,10.844,6.26,2.332,0.089,0.037508555,5.59591876880035e+17,Neptune-like
259,19.0,7.49,2.69,1.45,0.07879,0.035318274,474192925081350.2,Super Earth
260,39.0,8.31,7.6,2.585,0.2324,0.13908282,4.069912694599776e+16,Neptune-like
261,39.0,8.31,53.85966,8.239,1.4,2.1,178522713368702.2,Gas Giant
262,41.0,11.66,11.07,3.267,0.111,0.0550308,2.5996831295713635e+17,Neptune-like
263,70.0,12.903,16.57,4.147,0.082,0.0366872,5.849287041535567e+17,Neptune-like
264,30.0,9.81,6.043,2.288,0.062,0.020260096,1.9180020665789494e+18,Neptune-like
265,30.0,9.81,32.422,6.16,4.819,14.0,4016761050795.799,Neptune-like
266,30.0,9.81,5.223,2.14,0.178,0.09883641,60550828308457.19,Neptune-like
267,32.0,10.67,22.1,4.092,0.0291,0.007118412,1.553695212367772e+19,Neptune-like
268,46.0,11.49,13.2,3.6300000000000003,0.068,0.026283368,1.1396461744557217e+18,Neptune-like
269,26.0,11.39,2.82,1.305,0.01734,0.0041067763,3.507130440950463e+16,Super Earth
270,57.0,5.18799,1272.0,12.76,43.5,259.9,11655194075.383965,Gas Giant
271,25.0,9.05,5.2,2.13,0.422,0.38439423,4003135522857.685,Neptune-like
272,34.0,9.71,5.36,2.17,0.06661,0.023819301,1042547828313509.6,Neptune-like
